variable,value,label_en,label_ne,variablegroup,total,percoftotal,index
i_covid_effect_business,6,Lack of mobility and access to services due to government-imposed lockdown,सरकारद्वारा लगाइएको लकडाउनका कारण गतिशीलताको र सेवाहरूको पहुँचको अभाव,impact,74,0.6607142857142857,1
i_covid_effect_business,1,Reduced volume of business,व्यापारको मात्रा कम गरियो,impact,72,0.6428571428571429,2
i_covid_effect_business,9,Lack of adequate financial resources,पर्याप्त वित्तीय स्रोतहरूको अभाव,impact,45,0.4017857142857143,3
i_covid_effect_business,2,Increased Covid-19 cases in our area,हाम्रो क्षेत्रमा कोभिड-१९ केसहरू बढ्यो ,impact,36,0.32142857142857145,4
i_covid_effect_business,5,Supply chain disruption,आपूर्ति श्रृंखला अवरोध,impact,20,0.17857142857142858,5
i_covid_effect_business,10,Other,अन्य,impact,28,0.25,6
i_econ_stop_business,2,"Yes, temporarily stopped operations","हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",impact,87,0.7767857142857143,7
i_econ_stop_business,3,"Yes, permanently stopped","हो, स्थायी रूपमा रोकियो",impact,19,0.16964285714285715,8
i_econ_stop_business,1,"No, operations were always running","होइन, अपरेशनहरू सँधै चलिरहेका थिए",impact,6,0.05357142857142857,9
i_econ_stop_business_how_lng,5,12+ months,१२+ महिना,impact,44,0.5057471264367817,10
i_econ_stop_business_how_lng,4,7 to 12 months,७-१२ महिना,impact,25,0.28735632183908044,11
i_econ_stop_business_how_lng,3,4 to 6 months,४-६ महिना,impact,11,0.12643678160919541,12
i_econ_stop_business_how_lng,2,1 to 3 months,१-३ महिना,impact,5,0.05747126436781609,13
i_econ_stop_business_how_lng,1,Less than a month,एक महिना भन्दा कम,impact,2,0.022988505747126436,14
o_perm_stop_biz_start_new_biz_job,1,Not involved in any sector,कुनै पनि होइन (कुनै पनि क्षेत्रमा संलग्न छैन),impact,15,0.7894736842105263,15
o_perm_stop_biz_start_new_biz_job,3,Involved in non-tourism sector,गैर पर्यटन क्षेत्रमा संलग्न,impact,4,0.21052631578947367,16
i_fin_revenue_chng_2020_v_2019,5,Revenue stopped completely,राजस्व पूर्ण रूपमा रोकियो,impact,71,0.6339285714285714,17
i_fin_revenue_chng_2020_v_2019,4,Revenue became 25% of 2019,राजस्व २०१९ को २५% भयो ,impact,25,0.22321428571428573,18
i_fin_revenue_chng_2020_v_2019,3,Revenue became 50% of 2019,राजस्व २०१९ को ५०% भयो ,impact,8,0.07142857142857142,19
i_fin_revenue_chng_2020_v_2019,2,Revenue became 75% of 2019,राजस्व २०१९ को ७५% भयो ,impact,7,0.0625,20
i_fin_revenue_chng_2020_v_2019,1,Revenue remained the same,राजस्व उही रह्यो,impact,1,0.008928571428571428,21
i_fin_savings_chng_2020_v_2019,6,The business now has negative savings (i.e. it had to borrow money),ब्यापारको अब नकारात्मक बचत छ (अर्थात् पैसा उधारो लिनु परेको थियो),impact,96,0.8571428571428571,22
i_fin_savings_chng_2020_v_2019,4,Savings became 25% of 2019,बचत २०१९ को २५% भयो ,impact,11,0.09821428571428571,23
i_fin_savings_chng_2020_v_2019,3,Savings became 50% of 2019,बचत २०१९ को ५०% भयो ,impact,2,0.017857142857142856,24
i_fin_savings_chng_2020_v_2019,2,Savings became 75% of 2019,बचत २०१९ को ७५% भयो ,impact,3,0.026785714285714284,25
i_fin_effect_cost_invstmnt,1,"We could not cover our operating costs (e.g. rent, electricity, etc.)","हामी हाम्रो अपरेटिंग लागतहरू (भाडा, बिजुली, आदि) कभर गर्न सक्दैनौं।",impact,90,0.8035714285714286,26
i_fin_effect_cost_invstmnt,3,We had made significant investments specifically targeting Visit Nepal 2020,हामीले २०२० सालको लक्षित विशेष लगानी गरेका थियौं,impact,48,0.42857142857142855,27
i_fin_effect_cost_invstmnt,2,We canceled or postponed our investment plans,हामीले हाम्रो लगानी योजनाहरू रद्द गरेका वा स्थगित गरेका छौं,impact,37,0.33035714285714285,28
i_fin_effect_cost_invstmnt,4,Other,अन्य,impact,1,0.008928571428571428,29
i_fin_effect_cost_invstmnt,5,None of the above,माथिको कुनै होईन,impact,3,0.026785714285714284,30
i_wrkfrc_actn_during_covid,1,Reduced the number of employees,कामदारहरूको संख्या घटाइयो,preparedness,67,0.5982142857142857,31
i_wrkfrc_actn_during_covid,5,Asked workers to take paid/unpaid leave,कामदारहरूलाई भुक्तानी/विना भुक्तानी बिदा लिन आग्रह गरियो,preparedness,61,0.5446428571428571,32
i_wrkfrc_actn_during_covid,7,Reduced pay or employee benefits,"कर्मचारी सुविधाहरू/तलबमा (जस्तै भत्ता, बोनस, आदि) घटाइयो",preparedness,33,0.29464285714285715,33
i_wrkfrc_actn_during_covid,3,Reduced working hours,कार्य घटाइयो,preparedness,25,0.22321428571428573,34
i_wrkfrc_actn_during_covid,9,Other,अन्य,preparedness,17,0.15178571428571427,35
i_wrkfrc_actn_during_covid,10,Did not have to take any workforce-related actions,हाम्रो व्यवसायले महामारीको समयमा कुनै पनि कार्यबल सम्बन्धित कार्यहरू गर्नुपरेन,preparedness,8,0.07142857142857142,36
i_wrkfrc_size_chng_2020_v_2019,5,Workforce size became zero,कार्यबल आकार शून्य भयो ,preparedness,41,0.36607142857142855,37
i_wrkfrc_size_chng_2020_v_2019,4,Workforce size became 25% of 2019,कार्यबल आकार २०१९ को २५% भयो ,preparedness,32,0.2857142857142857,38
i_wrkfrc_size_chng_2020_v_2019,3,Workforce size became 50% of 2019,कार्यबल आकार २०१९ को ५०% भयो ,preparedness,15,0.13392857142857142,39
i_wrkfrc_size_chng_2020_v_2019,2,Workforce size became 75% of 2019,कार्यबल आकार २०१९ को ७५% भयो ,preparedness,12,0.10714285714285714,40
i_wrkfrc_size_chng_2020_v_2019,1,Workforce size remained the same,कार्यबल आकार उही रह्यो ,preparedness,10,0.08928571428571429,41
i_wrkfrc_size_chng_2020_v_2019,6,Workforce size increased compared to 2019,कार्यबल आकार २०१९ को तुलनामा बढ्यो,preparedness,2,0.017857142857142856,42
i_fin_effect_loan_avlblty,4,We faced difficulty in paying back existing loans,हामीले अवस्थित ऋण फिर्ता गर्नमा कठिनाई सामना गर्नुपर्यो ,preparedness,65,0.5803571428571429,43
i_fin_effect_loan_avlblty,2,We tried but could not take loans,हामीले प्रयास गर्यौं तर ऋण लिन सकेनौं,preparedness,29,0.25892857142857145,44
i_fin_effect_loan_avlblty,3,We took loans but faced significant difficulties in taking loans,हामीले ऋण लिएका थियौं तर ऋण लिनमा महत्वपूर्ण कठिनाइहरूको सामना गर्यौं,preparedness,20,0.17857142857142858,45
i_fin_effect_loan_avlblty,1,We took loan(s) quite easily to continue our business,हामीले हाम्रो व्यवसाय जारी राख्नको लागि ऋणहरू सजिलैसँग लिएका थियौं,preparedness,10,0.08928571428571429,46
i_fin_effect_loan_avlblty,5,Other,अन्य,preparedness,3,0.026785714285714284,47
i_fin_effect_loan_avlblty,6,None of the above,माथिको कुनै होईन,preparedness,14,0.125,48
i_fin_effect_asset_lqdty,1,We sold some of our assets,"हामीले हाम्रा सम्पत्तिहरू (सवारी साधनहरू, उपकरणहरू, भवनहरू, जमिन) बेच्यौं।",preparedness,38,0.3392857142857143,49
