,RawDataColumns,DownloadsDataColumns,InputType,Group
,_id,id,Text,general
,m_today,timestamp,Text,general
,i_econ_stop_business,stop_business,single-select,Impact
,i_econ_stop_business_how_lng,how_lng_stop_business,single-select,Impact
,i_covid_effect_business__1,business_effect_by_reduced_vol_business,multi-select,Impact
,i_covid_effect_business__2,business_effect_by_increased_covid_cases,multi-select,Impact
,i_covid_effect_business__3,business_effect_by_emplys_covid_situation,multi-select,Impact
,i_covid_effect_business__4,business_effect_by_human_resources_shortage,multi-select,Impact
,i_covid_effect_business__5,business_effect_by_supply_chain_disruption,multi-select,Impact
,i_covid_effect_business__6,business_effect_by_lack_sevices_access,multi-select,Impact
,i_covid_effect_business__7,business_effect_by_lack_mobility,multi-select,Impact
,i_covid_effect_business__8,business_effect_by_patners_disagrmnt,multi-select,Impact
,i_covid_effect_business__9,business_effect_by_lack_fin_resources,multi-select,Impact
,i_covid_effect_business__10,business_effect_by_other,multi-select,Impact
,i_covid_effect_business__11,business_no_effect,multi-select,Impact
,i_covid_effect_business_rnk1,most_significant_effect_business,single-select,Impact
,i_wrkfrc_actn_during_covid__1,wrkfrc_actn_reduced_temporary_workers,multi-select,Impact
,i_wrkfrc_actn_during_covid__2,wrkfrc_actn_reduced_permanent_workers,multi-select,Impact
,i_wrkfrc_actn_during_covid__3,wrkfrc_actn_reduced_working_hours,multi-select,Impact
,i_wrkfrc_actn_during_covid__4,wrkfrc_actn_introduced_rotational_employment,multi-select,Impact
,i_wrkfrc_actn_during_covid__5,wrkfrc_actn_asked_workers_paid_leave,multi-select,Impact
,i_wrkfrc_actn_during_covid__6,wrkfrc_actn_asked_workers_unpaid_leave,multi-select,Impact
,i_wrkfrc_actn_during_covid__7,wrkfrc_actn_asked_workers_reduced_pay,multi-select,Impact
,i_wrkfrc_actn_during_covid__8,wrkfrc_actn_decreased_employee_benefits,multi-select,Impact
,i_wrkfrc_actn_during_covid__9,wrkfrc_actn_other,multi-select,Impact
,i_wrkfrc_actn_during_covid__10,no_wrkfrc_actn,multi-select,Impact
,i_fin_effect_loan_avlblty__1,loan_impact_took_loan_easily,multi-select,Impact
,i_fin_effect_loan_avlblty__2,loan_impact_couldn't_take_loan,multi-select,Impact
,i_fin_effect_loan_avlblty__3,loan_impact_took_loan_difficultly,multi-select,Impact
,i_fin_effect_loan_avlblty__4,loan_impact_difficult_paying_existing_loan,multi-select,Impact
,i_fin_effect_loan_avlblty__5,loan_impact_other,multi-select,Impact
,i_fin_effect_loan_avlblty__6,no_loan_impact,multi-select,Impact
,i_fin_effect_asset_lqdty__1,asset_impact_sold_assets,multi-select,Impact
,i_fin_effect_asset_lqdty__2,asset_impact_couldn't_sell_assets,multi-select,Impact
,i_fin_effect_asset_lqdty__3,asset_impact_rented_assets,multi-select,Impact
,i_fin_effect_asset_lqdty__4,asset_impact_other,multi-select,Impact
,i_fin_effect_asset_lqdty__5,no_asset_impact,multi-select,Impact
,i_fin_effect_cost_invstmnt__1,cost_impact_couldn't_cover_operating_cost,multi-select,Impact
,i_fin_effect_cost_invstmnt__2,cost_impact_cancelled_investment_plans,multi-select,Impact
,i_fin_effect_cost_invstmnt__3,cost_impact_made_visit_nepal_investments,multi-select,Impact
,i_fin_effect_cost_invstmnt__4,cost_impact_other,multi-select,Impact
,i_fin_effect_cost_invstmnt__5,no_cost_impact,multi-select,Impact
,i_geog_effect_loc_chng__1,location_impact_moved_business,multi-select,Impact
,i_geog_effect_loc_chng__2,location_impact_closed_branches,multi-select,Impact
,i_geog_effect_loc_chng__3,location_impact_tried_couldn't_move_business,multi-select,Impact
,i_geog_effect_loc_chng__4,location_impact_other,multi-select,Impact
,i_geog_effect_loc_chng__5,no_location_impact,multi-select,Impact
,i_fin_effct_eqty_ownrshp__1,eqty_ownrshp_impact_sold_entire_business,multi-select,Impact
,i_fin_effct_eqty_ownrshp__2,eqty_ownrshp_impact_tried_cant_sell_business,multi-select,Impact
,i_fin_effct_eqty_ownrshp__3,eqty_ownrshp_impact_sold_some_business_equity,multi-select,Impact
,i_fin_effct_eqty_ownrshp__4,eqty_ownrshp_impact_tried_cant_sell_some_equity,multi-select,Impact
,i_fin_effct_eqty_ownrshp__5,eqty_ownrshp_impact_other,multi-select,Impact
,i_fin_effct_eqty_ownrshp__6,no_eqty_ownrshp_impact,multi-select,Impact
,i_fin_effect_other,fin_effect_other,single-select,Impact
,b_n_emplyes_pre_covid,n_employes_pre_covid,single-select,Impact
,i_wrkfrc_size_chng_2020_v_2019,wrkfrc_size_chng_2020_v_2019,single-select,Impact
,i_fin_revenue_chng_2020_v_2019,revenue_chng_2020_v_2019,single-select,Impact
,i_fin_savings_chng_2020_v_2019,savings_chng_2020_v_2019,single-select,Impact
,b_services_offered_pre_covid__1,accomondation_service_offered_pre_covid,multi-select,Impact
,b_services_offered_pre_covid__2,adventure_equipment_service_offered_pre_covid,multi-select,Impact
,b_services_offered_pre_covid__3,adventure_sports_service_offered_pre_covid,multi-select,Impact
,b_services_offered_pre_covid__4,bar_service_offered_pre_covid,multi-select,Impact
,b_services_offered_pre_covid__5,flight_booking_service_offered_pre_covid,multi-select,Impact
,b_services_offered_pre_covid__6,food_delivery_service_offered_pre_covid,multi-select,Impact
,b_services_offered_pre_covid__7,gymnasium_service_offered_pre_covid,multi-select,Impact
,b_services_offered_pre_covid__8,hotel_booking_service_offered_pre_covid,multi-select,Impact
,b_services_offered_pre_covid__9,online_service_offered_pre_covid,multi-select,Impact
,b_services_offered_pre_covid__10,restaurant_service_offered_pre_covid,multi-select,Impact
,b_services_offered_pre_covid__11,souvenir_shop_service_offered_pre_covid,multi-select,Impact
,b_services_offered_pre_covid__12,spa_services_offered_pre_covid,multi-select,Impact
,b_services_offered_pre_covid__13,swimming_pool_service_offered_pre_covid,multi-select,Impact
,b_services_offered_pre_covid__14,tour_package_service_offered_pre_covid,multi-select,Impact
,b_services_offered_pre_covid__15,travel_guide_porter_service_offered_pre_covid,multi-select,Impact
,b_services_offered_pre_covid__16,vehicle_booking_service_offered_pre_covid,multi-select,Impact
,b_services_offered_pre_covid__17,other_service_offered_pre_covid,multi-select,Impact
,b_services_offered_post_covid__1,accomondation_service_offered_post_covid,multi-select,Impact
,b_services_offered_post_covid__2,restaurant_service_offered_post_covid,multi-select,Impact
,b_services_offered_post_covid__3,bar_service_offered_post_covid,multi-select,Impact
,b_services_offered_post_covid__4,gymnasium_service_offered_post_covid,multi-select,Impact
