id,submission_date,occpatn_shopkeeper_pre_covid,occpatn_tour_guide_pre_covid,occpatn_trekking_guide_pre_covid,occpatn_rafting_guide_pre_covid,occpatn_mountain_guide_pre_covid,occpatn_driver_pre_covid,occpatn_travel_agent_pre_covid,occpatn_flight_attendent_pre_covid,occpatn_pilot_pre_covid,occpatn_cook_pre_covid,occpatn_hotel_manager_pre_covid,occpatn_hotel_staff_pre_covid,occpatn_waiter_pre_covid,occpatn_bartender_pre_covid,occpatn_porter_pre_covid,other_occpatn_pre_covid,had_frml_employment_contract_pre_covid,had_pan_pre_covid,wrk_type_seasonal_pre_covid,wrk_type_daily_wages_pre_covid,wrk_type_monthly_salary_pre_covid,other_wrk_type_pre_covid,sesonal_work_period,gender_individual,age_individual,education_level_individual,years_of_experience_individual,permanent_district_individual,temporary_district_individual,trsm_major_work_district
181454796,2021-05-31,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4 to 6 months,Male,21 - 40 years,10+2 or equivalent,6 to 10 years,Gorkha,Kathmandu,"Baglung, Bhaktapur, Chitawan, Dailekh, Dhading, Dolakha, Dolpa, Gorkha, Gulmi, Humla, Ilam, Jajarkot, Jhapa, Jumla, Kailali, Kalikot, Kanchanpur, Kapilbastu, Kaski, Kathmandu, Kavrepalanchok, Khotang, Lalitpur, Lamjung, Makwanpur, Manang, Mugu, Mustang, Myagdi, Nawalpur, Nuwakot, Okhaldhunga, Palpa, Panchthar, Parbat, Pyuthan, Ramechhap, Rasuwa, Rolpa, Rukum East, Rupandehi, Sankhuwasabha, Sindhuli, Sindhupalchok, Solukhumbu, Surkhet, Tanahu, Taplejung, Terhathum"
180535647,2021-05-27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4 to 6 months,Male,41 - 60 years,SLC or equivalent,6 to 10 years,Kathmandu,Kathmandu,"Chitawan, Kaski, Manang, Mustang, Rasuwa, Solukhumbu, Taplejung"
172149666,2021-04-17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4 to 6 months,Male,21 - 40 years,10+2 or equivalent,6 to 10 years,Sindhuli,Kathmandu,"Gorkha, Kaski, Manang, Rasuwa, Solukhumbu"
172148949,2021-04-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7 to 9 months,Male,21 - 40 years,10+2 or equivalent,6 to 10 years,Rasuwa,Chitawan,"Gorkha, Kaski, Manang, Mustang, Rasuwa, Solukhumbu"
172148572,2021-04-17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7 to 9 months,Female,21 - 40 years,SLC or equivalent,6 to 10 years,Kathmandu,Kathmandu,"Chitawan, Dhading, Kaski, Manang, Mustang, Sindhupalchok"
172148135,2021-04-17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,10+2 or equivalent,6 to 10 years,Dolakha,Kathmandu,"Dolakha, Gorkha, Morang, Solukhumbu, Taplejung"
172147628,2021-04-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Ramechhap,Kathmandu,"Gorkha, Kaski, Manang, Mustang, Rasuwa, Solukhumbu"
172147212,2021-04-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Solukhumbu,Kathmandu,"Kaski, Manang, Rasuwa, Sankhuwasabha, Solukhumbu"
172146388,2021-04-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Solukhumbu,Kathmandu,"Kaski, Manang, Mustang, Rasuwa, Solukhumbu"
172145729,2021-04-17,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Solukhumbu,Kathmandu,"Kaski, Manang, Mustang, Rasuwa, Sankhuwasabha, Sindhupalchok, Solukhumbu, Taplejung"
172145130,2021-04-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,Can read and/or write,11 to 15 years,Okhaldhunga,Kathmandu,"Gorkha, Kaski, Manang, Mustang, Rasuwa, Solukhumbu"
180979315,2021-05-29,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,,Male,21 - 40 years,10+2 or equivalent,6 to 10 years,Gorkha,Kathmandu,"Dhading, Gorkha, Kaski, Kathmandu, Manang, Mustang, Myagdi"
