id,submission_date,occpatn_shopkeeper_pre_covid,occpatn_tour_guide_pre_covid,occpatn_trekking_guide_pre_covid,occpatn_rafting_guide_pre_covid,occpatn_mountain_guide_pre_covid,occpatn_driver_pre_covid,occpatn_travel_agent_pre_covid,occpatn_flight_attendent_pre_covid,occpatn_pilot_pre_covid,occpatn_cook_pre_covid,occpatn_hotel_manager_pre_covid,occpatn_hotel_staff_pre_covid,occpatn_waiter_pre_covid,occpatn_bartender_pre_covid,occpatn_porter_pre_covid,other_occpatn_pre_covid,had_frml_employment_contract_pre_covid,had_pan_pre_covid,wrk_type_seasonal_pre_covid,wrk_type_daily_wages_pre_covid,wrk_type_monthly_salary_pre_covid,other_wrk_type_pre_covid,sesonal_work_period,gender_individual,age_individual,education_level_individual,years_of_experience_individual,permanent_district_individual,temporary_district_individual,have_alternative_income_source,alternate_income_source_agriculture_animal_husbandry,alternate_income_source_daily_wages,alternate_income_source_business_occupation,alternate_income_source_job_estate,alternate_income_source_professional_work,other_alternate_income_source,self_savings_chng_today_v_19,had_land_assets_pre_covid,had_television_pre_covid,had_cable_tv_pre_covid,had_computer_pre_covid,had_internet_pre_covid,had_telephone_pre_covid,had_mobile_phone_pre_covid,had_referigerator_pre_covid,had_motorcycle_pre_covid,had_personal_use_four_wheeler_pre_covid,had_professional_use_four_wheeler_pre_covid,did_not_have_mentioned_assets_pre_covid,has_land_assets_post_covid,has_television_post_covid,has_cable_tv_post_covid,has_computer_post_covid,has_internet_post_covid,has_telephone_post_covid,has_mobile_phone_post_covid,has_referigerator_post_covid,has_motorcycle_post_covid,has_personal_use_four_wheeler_post_covid,has_professional_use_four_wheeler_post_covid,do_not_have_mentioned_assets_post_covid,has_outstanding_debt,num_depndnt_fml_membrs_pre_covid,num_depndnt_fml_membrs_post_covid,num_depndnt_fml_membrs_needs_post_covid,is_vaccinated_against_covid,has_received_covid_hhs_training,received_hhs_training_source_goverment,received_hhs_training_source_ngo,received_hhs_training_source_employer,received_hhs_training_source_hotel_worker_association,received_hhs_training_other_source,major_covid_info_source_is_family_friends,major_covid_info_source_is_social_media,major_covid_info_source_is_radio,major_covid_info_source_is_television,major_covid_info_source_is_newspapers,major_covid_info_source_is_nearby_health_service,uses_other_major_covid_info_source,learned_new_skills_during_pandemic,trsm_major_work_district
181454796,2021-05-31,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,4 to 6 months,Male,21 - 40 years,10+2 or equivalent,6 to 10 years,Gorkha,Kathmandu,False,,,,,,,Has reduced to almost zero,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,6 people or more,6 people or more,1 to 2 people,True,False,,,,,,False,True,True,False,True,False,False,False,"Baglung, Bhaktapur, Chitawan, Dailekh, Dhading, Dolakha, Dolpa, Gorkha, Gulmi, Humla, Ilam, Jajarkot, Jhapa, Jumla, Kailali, Kalikot, Kanchanpur, Kapilbastu, Kaski, Kathmandu, Kavrepalanchok, Khotang, Lalitpur, Lamjung, Makwanpur, Manang, Mugu, Mustang, Myagdi, Nawalpur, Nuwakot, Okhaldhunga, Palpa, Panchthar, Parbat, Pyuthan, Ramechhap, Rasuwa, Rolpa, Rukum East, Rupandehi, Sankhuwasabha, Sindhuli, Sindhupalchok, Solukhumbu, Surkhet, Tanahu, Taplejung, Terhathum"
180535647,2021-05-27,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,4 to 6 months,Male,41 - 60 years,SLC or equivalent,6 to 10 years,Kathmandu,Kathmandu,False,,,,,,,Has reduced to almost zero,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,True,3 to 5 people,3 to 5 people,Not sufficient for myself,False,False,,,,,,False,True,False,False,False,False,False,False,"Chitawan, Kaski, Manang, Mustang, Rasuwa, Solukhumbu, Taplejung"
172149666,2021-04-17,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4 to 6 months,Male,21 - 40 years,10+2 or equivalent,6 to 10 years,Sindhuli,Kathmandu,False,,,,,,,25% remaining,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,3 to 5 people,3 to 5 people,Not sufficient for myself,False,False,,,,,,False,True,False,True,True,False,False,False,"Gorkha, Kaski, Manang, Rasuwa, Solukhumbu"
172148949,2021-04-17,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,7 to 9 months,Male,21 - 40 years,10+2 or equivalent,6 to 10 years,Rasuwa,Chitawan,False,,,,,,,25% remaining,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,3 to 5 people,3 to 5 people,Not sufficient for myself,False,False,,,,,,True,True,False,True,False,False,False,False,"Gorkha, Kaski, Manang, Mustang, Rasuwa, Solukhumbu"
172148572,2021-04-17,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,7 to 9 months,Female,21 - 40 years,SLC or equivalent,6 to 10 years,Kathmandu,Kathmandu,False,,,,,,,25% remaining,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,3 to 5 people,3 to 5 people,Not sufficient for myself,False,False,,,,,,True,True,False,True,False,False,False,False,"Chitawan, Dhading, Kaski, Manang, Mustang, Sindhupalchok"
172148135,2021-04-17,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,4 to 6 months,Male,21 - 40 years,10+2 or equivalent,6 to 10 years,Dolakha,Kathmandu,False,,,,,,,25% remaining,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,3 to 5 people,3 to 5 people,Not sufficient for myself,False,False,,,,,,True,True,False,True,False,False,False,False,"Dolakha, Gorkha, Morang, Solukhumbu, Taplejung"
172147628,2021-04-17,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Ramechhap,Kathmandu,False,,,,,,,25% remaining,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,6 people or more,6 people or more,Not sufficient for myself,False,False,,,,,,True,True,False,True,False,False,False,False,"Gorkha, Kaski, Manang, Mustang, Rasuwa, Solukhumbu"
172147212,2021-04-17,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Solukhumbu,Kathmandu,False,,,,,,,25% remaining,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,3 to 5 people,3 to 5 people,Not sufficient for myself,False,False,,,,,,False,True,False,True,True,False,False,False,"Kaski, Manang, Rasuwa, Sankhuwasabha, Solukhumbu"
172146388,2021-04-17,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Solukhumbu,Kathmandu,False,,,,,,,25% remaining,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,6 people or more,6 people or more,Not sufficient for myself,False,False,,,,,,True,True,False,True,False,False,False,False,"Kaski, Manang, Mustang, Rasuwa, Solukhumbu"
172145729,2021-04-17,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Solukhumbu,Kathmandu,False,,,,,,,25% remaining,True,True,False,False,False,False,True,True,True,False,False,False,True,True,False,False,False,False,True,True,True,False,False,False,True,3 to 5 people,3 to 5 people,Not sufficient for myself,False,False,,,,,,False,True,False,True,False,True,False,False,"Kaski, Manang, Mustang, Rasuwa, Sankhuwasabha, Sindhupalchok, Solukhumbu, Taplejung"
