businessname,submissiondate,businesstype,variable,value,percoftotal,total,label_en,label_ne,latitude,longitude,index
Shisha Lounge & Bar Pvt Ltd,1,Restaurant and Bar,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7153038584918,85.3103238891712,1
Wish List Nepal Tours and Travels,1,Travel and Tour Operator,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7054130197592,85.3489936269846,2
Mechi resort Pvt Ltd & Maina travels and tours Pvt Ltd,2,Hotel,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",28.2072939,83.9578631,3
Naya Nepal collection and export pvt.ltd,1,Handicraft,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.713195,85.3122775,4
Nepal Ascent Treks,1,Trekking,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7119692416278,85.3110869262584,5
Royal handicraft,1,Handicraft,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7155286407712,85.3113662974226,6
Eco craft collection,1,Shop/Merchandise,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7169496294368,85.310175951392,7
Little buddha restaurant &lounge bar,1,Restaurant and Bar,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7141228,85.3116181,8
Splash nepal adventure,1,Rafting,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",27.7146686256428,85.3109832980832,9
Tourism,1,Hotel,i_econ_stop_business,2,77.0,84,Temporarily shutdown during the pandemic,"हो, अस्थायी रूपमा सञ्चालनहरू बन्द गरियो",28.20794,83.95855,10
