xvariable,xvalue,xlabel_en,xlabel_ne,yvariable,yvalue,ylabel_en,ylabel_ne,total,percoftotal,variablegroup,index
m_gender,2,Female,महिला,i_lvlhd_domicile_chng_self_fml,1,Yes,पर्यो,10,0.03875968992248062,impact,1
m_gender,2,Female,महिला,i_lvlhd_domicile_chng_self_fml,0,No,परेन,15,0.05813953488372093,impact,2
m_gender,1,Male,पुरुष,i_lvlhd_domicile_chng_self_fml,1,Yes,पर्यो,133,0.5155038759689923,impact,3
m_gender,1,Male,पुरुष,i_lvlhd_domicile_chng_self_fml,0,No,परेन,100,0.3875968992248062,impact,4
m_gender,3,Third gender,तेस्रो लिंगी,i_lvlhd_domicile_chng_self_fml,0,No,परेन,0,0.0,impact,5
m_gender,3,Third gender,तेस्रो लिंगी,i_lvlhd_domicile_chng_self_fml,1,Yes,पर्यो,0,0.0,impact,6
m_age,3,41 - 60 years,४१-६० वर्ष,i_lvlhd_domicile_chng_self_fml,1,Yes,पर्यो,20,0.07751937984496124,impact,7
m_age,3,41 - 60 years,४१-६० वर्ष,i_lvlhd_domicile_chng_self_fml,0,No,परेन,23,0.08914728682170543,impact,8
m_age,2,21 - 40 years,२१-४० बर्ष,i_lvlhd_domicile_chng_self_fml,1,Yes,पर्यो,120,0.46511627906976744,impact,9
m_age,2,21 - 40 years,२१-४० बर्ष,i_lvlhd_domicile_chng_self_fml,0,No,परेन,89,0.3449612403100775,impact,10
m_age,1,Less than 20 years,०-२० बर्ष,i_lvlhd_domicile_chng_self_fml,1,Yes,पर्यो,3,0.011627906976744186,impact,11
m_age,1,Less than 20 years,०-२० बर्ष,i_lvlhd_domicile_chng_self_fml,0,No,परेन,3,0.011627906976744186,impact,12
m_age,4,61 and above,६१ वर्ष वा माथि,i_lvlhd_domicile_chng_self_fml,0,No,परेन,0,0.0,impact,13
m_age,4,61 and above,६१ वर्ष वा माथि,i_lvlhd_domicile_chng_self_fml,1,Yes,पर्यो,0,0.0,impact,14
m_edu_levl,6,Master's degree or higher,स्नातकोत्तर वा माथि,i_lvlhd_domicile_chng_self_fml,1,Yes,पर्यो,14,0.05426356589147287,impact,15
m_edu_levl,6,Master's degree or higher,स्नातकोत्तर वा माथि,i_lvlhd_domicile_chng_self_fml,0,No,परेन,13,0.050387596899224806,impact,16
m_edu_levl,5,Bachelor's degree or equivalent,स्नातक,i_lvlhd_domicile_chng_self_fml,1,Yes,पर्यो,30,0.11627906976744186,impact,17
m_edu_levl,5,Bachelor's degree or equivalent,स्नातक,i_lvlhd_domicile_chng_self_fml,0,No,परेन,30,0.11627906976744186,impact,18
m_edu_levl,4,10+2 or equivalent,+२' वा सो सरह,i_lvlhd_domicile_chng_self_fml,1,Yes,पर्यो,53,0.2054263565891473,impact,19
m_edu_levl,4,10+2 or equivalent,+२' वा सो सरह,i_lvlhd_domicile_chng_self_fml,0,No,परेन,33,0.12790697674418605,impact,20
