variable,value,label_en,label_ne,variablegroup,total,percoftotal,index
i_lvlhd_domicile_chng_self_fml,1,Yes,पर्यो,impact,143,0.5542635658914729,1
i_lvlhd_domicile_chng_self_fml,0,No,परेन,impact,115,0.44573643410852715,2
i_empl_covid_effects,1,Lost job or self employment,रोजगार / स्व-रोजगार गुमाउनुपर्यो,impact,220,0.8527131782945736,3
i_empl_covid_effects,4,Reduced salary,तलब कटौती भयो,impact,76,0.29457364341085274,4
i_empl_covid_effects,5,Rotational employment,पालो गरेर/कुरेर काम गर्नुपर्यो ,impact,40,0.15503875968992248,5
i_empl_covid_effects,3,Took up uninterested job (low self-esteem job),मन नलागेको काम गर्नुपर्यो,impact,38,0.14728682170542637,6
i_empl_covid_effects,7,Other,अन्य समस्या भोग्नुपर्यो,impact,36,0.13953488372093023,7
i_empl_covid_effects,8,No effect,केहि भोग्नुपरेन,impact,4,0.015503875968992248,8
i_empl_jb_prsnt_status,3,"No, currently unemployed but looking for work","अहिले पर्यटन क्षेत्रमा मैले गर्ने प्रकृतिको काम नभएकाले / नपाएकाले काम कुरेर बसिरहेको छु
 (अहिले कुनै किसिमको रोजगारी नगरी बसेको)",impact,186,0.7209302325581395,9
i_empl_jb_prsnt_status,1,"Yes, I am working in tourism sector only","छु, म पूर्ण रूपले पर्यटन क्षेत्रमा मात्रै काम गर्दै छु",impact,49,0.18992248062015504,10
i_empl_jb_prsnt_status,2,"Yes, I am working in tourism sector and also in a non-tourim sector","छु, तर म पर्यटन लगायत अन्य क्षेत्रमा पनि काम गर्दै छु 
(हाल पर्यटन क्षेत्रको काम कुर्दै गरेका तर अन्य क्षेत्रको काम गर्दै गरेकालाई पनि)",impact,19,0.07364341085271318,11
i_empl_jb_prsnt_status,4,"No, I have left all tourism-related work","छैन, मैले पर्यटन क्षेत्र छाडिसकेको छु",impact,4,0.015503875968992248,12
i_econ_incm_chng_self,1,Total income was almost zero,कुल आय लगभग शुन्य (न्यून) भयो,impact,214,0.8294573643410853,13
i_econ_incm_chng_self,4,Total income decreased by 75%,कुल आय तीन-चौथाई (७५%)ले घट्यो,impact,18,0.06976744186046512,14
i_econ_incm_chng_self,3,Total income decreased by 50%,कुल आय आधि (५०%)ले घट्यो,impact,16,0.06201550387596899,15
i_econ_incm_chng_self,2,Total income decreased by 25%,कुल आय एक-चौथाई (२५%)ले घट्यो,impact,7,0.027131782945736434,16
i_econ_incm_chng_self,5,Total income was almost same as that of 2019,कुल आय लगभग उस्तै रह्यो,impact,2,0.007751937984496124,17
i_econ_incm_chng_self,6,Total income exceeded that of 2019,कुल आय बढ्यो,impact,1,0.003875968992248062,18
i_empl_lst_date_full_salary,1,Before COVID-19 lockdown (Before March 2020),कोभिड-१९ लकडाउन भन्दा पहिले (चैत्र २०७६ भन्दा पहिले),impact,212,0.8217054263565892,19
i_empl_lst_date_full_salary,2,Between March and September 2020,बैशाख देखि असोज २०७७ को बीचमा,impact,17,0.06589147286821706,20
i_empl_lst_date_full_salary,3,Between October and December 2020,कार्तिक देखि पौष २०७७ को बीचमा,impact,9,0.03488372093023256,21
i_empl_lst_date_full_salary,4,After December 2021,माघ २०७७ पछि,impact,17,0.06589147286821706,22
i_empl_lst_date_full_salary,5,No change due to COVID-19,मेरो पूर्ण तलब (आम्दानी)मा कोभिड-१९ले कुनै असर नगरेको,impact,3,0.011627906976744186,23
p_econ_self_savings_chng_today_v_19,5,Has reduced to almost zero,लगभग शुन्य बाँकी छ,impact,145,0.562015503875969,24
p_econ_self_savings_chng_today_v_19,4,25% remaining,एक-चौथाई (२५%) बाँकी छ,impact,93,0.36046511627906974,25
p_econ_self_savings_chng_today_v_19,3,50% remaining,आधि (५०%) बाँकी छ,impact,3,0.011627906976744186,26
p_econ_self_savings_chng_today_v_19,2,75% remaining,तीन-चौथाई (७५%) बाँकी छ,impact,8,0.031007751937984496,27
p_econ_self_savings_chng_today_v_19,1,Has stayed the same,लगभग उत्तिकै बाँकी छ,impact,7,0.027131782945736434,28
p_econ_self_savings_chng_today_v_19,6,Has grown compared to 2019,बचत बढेको छ,impact,2,0.007751937984496124,29
p_lvlhd_num_depndnt_fml_membrs_post_covid,4,6 people or more,५ जना भन्दा बढी,impact,53,0.2054263565891473,30
p_lvlhd_num_depndnt_fml_membrs_post_covid,3,3 to 5 people,३-५ जना,impact,142,0.5503875968992248,31
p_lvlhd_num_depndnt_fml_membrs_post_covid,2,2 people,२ जना,impact,22,0.08527131782945736,32
p_lvlhd_num_depndnt_fml_membrs_post_covid,1,Only me,१ जना (म मात्रै),impact,41,0.15891472868217055,33
p_lvlhd_num_depndnt_need_fml_membrs_post_covid,1,Not sufficient for myself,शुन्य (०) जना,impact,167,0.6472868217054264,34
p_lvlhd_num_depndnt_need_fml_membrs_post_covid,2,1 to 2 people,१-२ जना,impact,51,0.19767441860465115,35
